2026/02/17 15:25:24.940, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.99 W, 62, P2
2026/02/17 15:25:25.942, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.35 W, 65, P2
2026/02/17 15:25:25.944, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.99 W, 62, P2
2026/02/17 15:25:26.946, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 74.11 W, 65, P2
2026/02/17 15:25:26.963, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.66 W, 61, P2
2026/02/17 15:25:27.967, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 74.58 W, 66, P2
2026/02/17 15:25:27.991, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.66 W, 61, P2
2026/02/17 15:25:28.993, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 73.50 W, 66, P2
2026/02/17 15:25:29.014, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.56 W, 61, P2
2026/02/17 15:25:30.017, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 74.73 W, 66, P2
2026/02/17 15:25:30.035, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 8.26 W, 59, P5
2026/02/17 15:25:31.038, 0, NVIDIA GeForce GTX 1060, 95 %, 64 %, 4871 MiB, 67.21 W, 66, P2
2026/02/17 15:25:31.047, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 8.16 W, 59, P5
2026/02/17 15:25:32.050, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.63 W, 63, P2
2026/02/17 15:25:32.052, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 74 %, 4799 MiB, 107.24 W, 61, P2
2026/02/17 15:25:33.059, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.47 W, 62, P2
2026/02/17 15:25:33.064, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 120.83 W, 64, P2
2026/02/17 15:25:34.067, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.26 W, 61, P2
2026/02/17 15:25:34.069, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 123.20 W, 65, P2
2026/02/17 15:25:35.071, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.28 W, 60, P2
2026/02/17 15:25:35.075, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 110.64 W, 66, P2
2026/02/17 15:25:36.090, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.23 W, 60, P2
2026/02/17 15:25:36.092, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 116.86 W, 66, P2
2026/02/17 15:25:37.094, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.99 W, 59, P2
2026/02/17 15:25:37.097, 1, NVIDIA GeForce GTX 1060 6GB, 96 %, 73 %, 4799 MiB, 118.07 W, 67, P2
2026/02/17 15:25:38.099, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.99 W, 59, P2
2026/02/17 15:25:38.101, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 117.92 W, 67, P2
2026/02/17 15:25:39.103, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 30.07 W, 58, P2
2026/02/17 15:25:39.106, 1, NVIDIA GeForce GTX 1060 6GB, 63 %, 49 %, 4799 MiB, 36.37 W, 66, P2
2026/02/17 15:25:40.108, 0, NVIDIA GeForce GTX 1060, 0 %, 0 %, 4871 MiB, 29.79 W, 58, P2
2026/02/17 15:25:40.113, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.88 W, 63, P2
2026/02/17 15:25:41.120, 0, NVIDIA GeForce GTX 1060, 93 %, 63 %, 4871 MiB, 70.50 W, 60, P2
2026/02/17 15:25:41.124, 1, NVIDIA GeForce GTX 1060 6GB, 92 %, 70 %, 4799 MiB, 119.50 W, 66, P2
2026/02/17 15:25:42.128, 0, NVIDIA GeForce GTX 1060, 94 %, 65 %, 4871 MiB, 72.50 W, 61, P2
2026/02/17 15:25:42.151, 1, NVIDIA GeForce GTX 1060 6GB, 92 %, 70 %, 4799 MiB, 109.93 W, 67, P2
2026/02/17 15:25:43.154, 0, NVIDIA GeForce GTX 1060, 93 %, 65 %, 4871 MiB, 74.36 W, 62, P2
2026/02/17 15:25:43.165, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 72 %, 4799 MiB, 116.29 W, 67, P2
2026/02/17 15:25:44.176, 0, NVIDIA GeForce GTX 1060, 94 %, 64 %, 4871 MiB, 73.31 W, 62, P2
2026/02/17 15:25:44.186, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 117.37 W, 68, P2
2026/02/17 15:25:45.189, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 72.79 W, 63, P2
2026/02/17 15:25:45.197, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 119.71 W, 68, P2
2026/02/17 15:25:46.207, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 73.73 W, 63, P2
2026/02/17 15:25:46.209, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 72 %, 4799 MiB, 119.82 W, 68, P2
2026/02/17 15:25:47.215, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 75.26 W, 63, P2
